epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.041613,60.9103,0.034057,75.9167,0.7569,0.7592,0.7579,9.938441702975689e-05
2,0.035441,73.2731,0.069911,49.1667,0.7579,0.4917,0.4596,9.755282581475769e-05
3,0.031768,76.6624,0.029774,76.75,0.7932,0.7675,0.7736,9.45503262094184e-05
4,0.028356,80.0516,0.027903,80.5,0.8007,0.805,0.8015,9.045084971874738e-05
5,0.027777,80.2453,0.026444,81.6667,0.814,0.8167,0.8149,8.535533905932738e-05
6,0.025756,81.4074,0.02779,81.5,0.8241,0.815,0.8179,7.938926261462366e-05
7,0.023716,84.603,0.033738,74.25,0.8175,0.7425,0.7507,7.269952498697734e-05
8,0.023036,83.6346,0.028582,80.25,0.8308,0.8025,0.808,6.545084971874738e-05
9,0.021153,85.6682,0.027441,83.9167,0.8385,0.8392,0.8388,5.782172325201156e-05
10,0.019269,87.379,0.029242,81.75,0.841,0.8175,0.8223,5.000000000000001e-05
11,0.018838,87.3144,0.027557,82.0833,0.8419,0.8208,0.8253,4.217827674798848e-05
12,0.017204,88.4119,0.026703,82.5833,0.8384,0.8258,0.8292,3.454915028125264e-05
