epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.043275,61.3944,0.066331,47.4167,0.7597,0.4742,0.4331,9.938441702975689e-05
2,0.035434,73.5959,0.031097,76.0,0.7503,0.76,0.7477,9.755282581475769e-05
3,0.032148,75.4035,0.034645,71.8333,0.8105,0.7183,0.7266,9.45503262094184e-05
4,0.030029,77.663,0.025842,80.9167,0.8054,0.8092,0.8063,9.045084971874738e-05
5,0.028226,79.277,0.026247,81.0833,0.8328,0.8108,0.8156,8.535533905932738e-05
6,0.027688,80.0516,0.03575,73.5833,0.8079,0.7358,0.7443,7.938926261462366e-05
7,0.025668,82.5371,0.028935,79.0833,0.8242,0.7908,0.797,7.269952498697734e-05
8,0.024781,83.1827,0.026654,79.0833,0.8118,0.7908,0.7959,6.545084971874738e-05
9,0.023171,83.8606,0.023607,82.9167,0.8394,0.8292,0.8321,5.782172325201156e-05
10,0.02319,83.6346,0.025443,82.5,0.8418,0.825,0.8289,5.000000000000001e-05
11,0.020501,86.1846,0.033311,77.0833,0.8424,0.7708,0.7782,4.217827674798848e-05
12,0.02025,85.9587,0.023338,84.0,0.8458,0.84,0.8419,3.454915028125264e-05
13,0.017622,88.6701,0.02198,86.6667,0.8653,0.8667,0.8657,2.730047501302267e-05
14,0.017148,88.9606,0.025849,84.0,0.8585,0.84,0.8438,2.0610737385376356e-05
15,0.01573,89.6062,0.021791,86.5833,0.8665,0.8658,0.8661,1.464466094067263e-05
16,0.014268,90.9942,0.022708,86.0,0.8631,0.86,0.8611,9.549150281252635e-06
17,0.013743,91.1556,0.022514,87.0,0.873,0.87,0.8711,5.4496737905816115e-06
18,0.012631,92.6404,0.022005,87.0833,0.8729,0.8708,0.8716,2.4471741852423237e-06
19,0.011912,92.8664,0.02282,86.25,0.8694,0.8625,0.8645,6.155829702431171e-07
20,0.012252,92.3499,0.023367,85.8333,0.8675,0.8583,0.8607,0.0
