fold,best_epoch,val_acc,val_f1,test_acc,test_precision,test_recall,test_f1
1,8,85.5,0.8519,83.0028,0.8324,0.83,0.831
2,18,87.5,0.8757,85.0803,0.8546,0.8508,0.8522
3,13,85.75,0.8592,84.0415,0.8543,0.8404,0.8437
4,15,88.0,0.8801,84.9858,0.8562,0.8499,0.8518
5,6,84.3203,0.8432,83.0028,0.8383,0.83,0.8326
mean,,86.2141,0.862,84.0227,0.8472,0.8402,0.8422
std,,1.3531,0.014,0.9085,0.0098,0.0091,0.0091
