epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.044444,62.4919,0.042759,69.0833,0.7386,0.6908,0.7007,9.938441702975689e-05
2,0.035825,71.6269,0.03636,73.3333,0.8012,0.7333,0.742,9.755282581475769e-05
3,0.034047,74.4351,0.03163,76.1667,0.7903,0.7617,0.7682,9.45503262094184e-05
4,0.030359,76.6301,0.036285,70.4167,0.8037,0.7042,0.7124,9.045084971874738e-05
5,0.029513,78.3409,0.030411,80.4167,0.8287,0.8042,0.8093,8.535533905932738e-05
6,0.029003,78.4377,0.024108,84.4167,0.8445,0.8442,0.8443,7.938926261462366e-05
7,0.026067,81.5042,0.028853,79.25,0.8162,0.7925,0.7979,7.269952498697734e-05
8,0.02461,82.989,0.028214,81.3333,0.8373,0.8133,0.8182,6.545084971874738e-05
9,0.023542,83.3118,0.026453,81.5833,0.8388,0.8158,0.8206,5.782172325201156e-05
10,0.021806,84.603,0.029788,81.25,0.8172,0.8125,0.8143,5.000000000000001e-05
11,0.021607,85.2163,0.023744,84.0833,0.8471,0.8408,0.8429,4.217827674798848e-05
12,0.019531,86.8302,0.026749,83.6667,0.8521,0.8367,0.8402,3.454915028125264e-05
13,0.018417,88.1859,0.023579,85.0,0.8482,0.85,0.8488,2.730047501302267e-05
14,0.017988,88.2505,0.022159,86.25,0.8683,0.8625,0.8643,2.0610737385376356e-05
15,0.016005,89.5739,0.020639,87.4167,0.8778,0.8742,0.8754,1.464466094067263e-05
16,0.01462,90.51,0.022368,86.3333,0.8708,0.8633,0.8654,9.549150281252635e-06
17,0.014927,90.3486,0.022225,86.8333,0.8753,0.8683,0.8702,5.4496737905816115e-06
18,0.013845,90.8651,0.021592,87.3333,0.876,0.8733,0.8743,2.4471741852423237e-06
19,0.012635,91.898,0.023687,86.75,0.8798,0.8675,0.8701,6.155829702431171e-07
20,0.01264,92.0594,0.023526,86.9167,0.8783,0.8692,0.8714,0.0
