epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.04226,63.469,0.044143,60.4167,0.7555,0.6042,0.6073,9.938441702975689e-05
2,0.035596,72.1576,0.029411,78.6667,0.7825,0.7867,0.7838,9.755282581475769e-05
3,0.031686,76.1628,0.03099,79.0833,0.8034,0.7908,0.7946,9.45503262094184e-05
4,0.030119,78.4884,0.033425,75.25,0.8127,0.7525,0.7605,9.045084971874738e-05
5,0.028904,79.4574,0.026061,82.9167,0.828,0.8292,0.8285,8.535533905932738e-05
6,0.027225,79.2636,0.025975,84.4167,0.8517,0.8442,0.8337,7.938926261462366e-05
7,0.025396,82.5258,0.031054,78.0,0.8125,0.78,0.7863,7.269952498697734e-05
8,0.024826,82.3966,0.028129,82.5833,0.8473,0.8258,0.8302,6.545084971874738e-05
9,0.022981,84.4638,0.03229,75.5833,0.8233,0.7558,0.7637,5.782172325201156e-05
10,0.022502,84.8191,0.024436,83.25,0.8515,0.8325,0.8365,5.000000000000001e-05
11,0.020685,86.1434,0.022226,84.0833,0.8516,0.8408,0.8437,4.217827674798848e-05
12,0.020242,86.1111,0.02541,84.1667,0.869,0.8417,0.8461,3.454915028125264e-05
13,0.018542,87.7584,0.022334,85.0833,0.86,0.8508,0.8533,2.730047501302267e-05
14,0.017521,88.4367,0.022234,84.25,0.8477,0.8425,0.8442,2.0610737385376356e-05
15,0.016231,88.8566,0.020313,85.5833,0.8589,0.8558,0.857,1.464466094067263e-05
16,0.014977,90.5685,0.023324,85.4167,0.8698,0.8542,0.8574,9.549150281252635e-06
17,0.014294,91.053,0.02188,85.4167,0.8641,0.8542,0.8567,5.4496737905816115e-06
18,0.012556,91.8605,0.022431,85.4167,0.8637,0.8542,0.8566,2.4471741852423237e-06
19,0.012043,92.6034,0.022679,85.4167,0.8645,0.8542,0.8568,6.155829702431171e-07
20,0.011852,92.2804,0.023303,85.5,0.8674,0.855,0.8579,0.0
