fold,best_epoch,val_acc,val_f1,test_acc,test_precision,test_recall,test_f1
1,8,82.8333,0.8286,82.5307,0.8272,0.8253,0.8261
2,13,87.3333,0.8719,86.2134,0.8612,0.8621,0.8616
3,5,81.6667,0.8149,81.492,0.8155,0.8149,0.8152
4,15,86.6667,0.8662,85.7413,0.8573,0.8574,0.8574
5,4,81.2344,0.8115,80.2644,0.8044,0.8026,0.8034
mean,,83.9469,0.8386,83.2483,0.8331,0.8325,0.8327
std,,2.5559,0.0256,2.3456,0.0226,0.0235,0.023
