epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.042124,60.297,0.036412,71.75,0.7117,0.7175,0.714,9.938441702975689e-05
2,0.035679,72.2724,0.03171,77.4167,0.7888,0.7742,0.7786,9.755282581475769e-05
3,0.032171,75.6617,0.029513,77.5833,0.7904,0.7758,0.7802,9.45503262094184e-05
4,0.029327,79.858,0.027924,80.0,0.8099,0.8,0.8032,9.045084971874738e-05
5,0.028295,79.5352,0.025146,81.8333,0.8273,0.8183,0.8211,8.535533905932738e-05
6,0.025935,80.7618,0.026545,80.0,0.8287,0.8,0.8056,7.938926261462366e-05
7,0.023765,82.8276,0.026606,82.3333,0.8382,0.8233,0.827,7.269952498697734e-05
8,0.023129,83.9897,0.026276,81.1667,0.8322,0.8117,0.8163,6.545084971874738e-05
9,0.021039,85.9587,0.026126,83.0833,0.8472,0.8308,0.8346,5.782172325201156e-05
10,0.019672,87.2821,0.026821,82.8333,0.844,0.8283,0.8321,5.000000000000001e-05
11,0.019795,87.0239,0.023127,85.1667,0.8602,0.8517,0.854,4.217827674798848e-05
12,0.018494,88.1536,0.023814,84.5,0.8563,0.845,0.8479,3.454915028125264e-05
13,0.017428,87.7986,0.022112,85.75,0.8631,0.8575,0.8592,2.730047501302267e-05
14,0.015693,89.7353,0.023648,86.1667,0.866,0.8617,0.8631,2.0610737385376356e-05
15,0.014724,90.51,0.023349,87.0833,0.8726,0.8708,0.8715,1.464466094067263e-05
16,0.014783,90.2841,0.024439,86.0,0.8661,0.86,0.8618,9.549150281252635e-06
17,0.014728,90.8005,0.0251,85.5,0.8643,0.855,0.8574,5.4496737905816115e-06
18,0.013963,91.9948,0.024799,86.0,0.8654,0.86,0.8617,2.4471741852423237e-06
19,0.013397,91.4461,0.025414,85.75,0.8669,0.8575,0.8599,6.155829702431171e-07
20,0.013229,91.091,0.026015,85.4167,0.865,0.8542,0.8568,0.0
