epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.040651,62.3385,0.033336,74.9167,0.7397,0.7492,0.741,9.938441702975689e-05
2,0.034659,72.0284,0.028715,78.8333,0.7905,0.7883,0.7893,9.755282581475769e-05
3,0.030887,77.5194,0.026867,81.6667,0.8169,0.8167,0.8168,9.45503262094184e-05
4,0.029796,78.5853,0.026828,82.25,0.8221,0.8225,0.8223,9.045084971874738e-05
5,0.026452,81.3953,0.025582,84.0,0.839,0.84,0.8394,8.535533905932738e-05
6,0.025366,82.009,0.023891,82.3333,0.8243,0.8233,0.8238,7.938926261462366e-05
7,0.023832,83.8824,0.025628,80.4167,0.8311,0.8042,0.8095,7.269952498697734e-05
8,0.023003,84.6576,0.024945,83.6667,0.8432,0.8367,0.8388,6.545084971874738e-05
9,0.020573,86.3695,0.025906,83.0,0.8504,0.83,0.8342,5.782172325201156e-05
10,0.020124,86.3695,0.02201,86.4167,0.8639,0.8642,0.864,5.000000000000001e-05
11,0.018043,87.4031,0.023844,85.0833,0.8617,0.8508,0.8536,4.217827674798848e-05
12,0.018135,88.0491,0.0218,87.4167,0.8769,0.8742,0.8751,3.454915028125264e-05
13,0.015955,89.9225,0.022155,86.4167,0.8668,0.8642,0.8651,2.730047501302267e-05
14,0.01547,89.438,0.021514,87.5833,0.8773,0.8758,0.8764,2.0610737385376356e-05
15,0.01554,89.5349,0.020373,88.0,0.8802,0.88,0.8801,1.464466094067263e-05
16,0.014144,91.1822,0.021024,87.5833,0.8783,0.8758,0.8767,9.549150281252635e-06
17,0.013557,91.7313,0.02129,86.9167,0.8741,0.8692,0.8707,5.4496737905816115e-06
18,0.013386,91.7636,0.020937,87.5833,0.8776,0.8758,0.8765,2.4471741852423237e-06
19,0.012929,91.2791,0.021382,87.8333,0.8797,0.8783,0.8789,6.155829702431171e-07
20,0.012415,92.2804,0.021249,87.4167,0.8778,0.8742,0.8754,0.0
