epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.043324,63.3312,0.038505,70.3086,0.73,0.7031,0.7108,9.938441702975689e-05
2,0.035451,71.5623,0.03398,73.2277,0.7481,0.7323,0.7375,9.755282581475769e-05
3,0.032957,75.1453,0.037627,69.6414,0.795,0.6964,0.7049,9.45503262094184e-05
4,0.030205,77.889,0.030101,78.5655,0.803,0.7857,0.7903,9.045084971874738e-05
5,0.028462,79.8903,0.03027,78.5655,0.8262,0.7857,0.7923,8.535533905932738e-05
6,0.027543,79.5352,0.030627,77.231,0.8154,0.7723,0.7794,7.938926261462366e-05
7,0.025108,82.6662,0.036388,72.8107,0.7899,0.7281,0.7369,7.269952498697734e-05
8,0.024499,83.7637,0.026934,81.6514,0.8269,0.8165,0.8196,6.545084971874738e-05
9,0.022727,83.9897,0.031705,76.7306,0.812,0.7673,0.7746,5.782172325201156e-05
10,0.022393,84.3125,0.024969,83.5696,0.8425,0.8357,0.8379,5.000000000000001e-05
11,0.020862,86.4106,0.027216,81.568,0.8331,0.8157,0.8198,4.217827674798848e-05
12,0.020095,87.153,0.023829,84.4037,0.8453,0.844,0.8446,3.454915028125264e-05
13,0.018561,87.2821,0.025951,80.9842,0.8261,0.8098,0.814,2.730047501302267e-05
14,0.016373,89.2834,0.023289,84.1535,0.8484,0.8415,0.8437,2.0610737385376356e-05
15,0.015834,89.9935,0.025321,83.5696,0.8403,0.8357,0.8374,1.464466094067263e-05
16,0.014103,91.3815,0.026553,84.2369,0.8439,0.8424,0.843,9.549150281252635e-06
17,0.013658,91.7043,0.025735,84.0701,0.8493,0.8407,0.8432,5.4496737905816115e-06
18,0.01239,92.6081,0.024284,85.0709,0.8538,0.8507,0.8519,2.4471741852423237e-06
19,0.012417,92.479,0.024855,84.5705,0.8526,0.8457,0.8478,6.155829702431171e-07
20,0.011984,92.6404,0.025416,83.9867,0.8471,0.8399,0.8421,0.0
