epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.042627,58.6185,0.037703,68.6667,0.7293,0.6867,0.6964,9.938441702975689e-05
2,0.035862,70.7876,0.029454,77.75,0.8011,0.7775,0.7832,9.755282581475769e-05
3,0.031871,76.3396,0.028222,79.9167,0.802,0.7992,0.8004,9.45503262094184e-05
4,0.028955,78.3731,0.028947,79.5,0.8299,0.795,0.8011,9.045084971874738e-05
5,0.027851,79.2124,0.026596,80.3333,0.8276,0.8033,0.8085,8.535533905932738e-05
6,0.026279,80.2453,0.027245,80.5,0.8455,0.805,0.8111,7.938926261462366e-05
7,0.023297,84.377,0.026638,82.75,0.841,0.8275,0.8309,7.269952498697734e-05
8,0.022601,84.5707,0.024452,83.0833,0.8402,0.8308,0.8336,6.545084971874738e-05
9,0.021472,84.9258,0.026691,83.0,0.8472,0.83,0.8339,5.782172325201156e-05
10,0.020581,86.1524,0.022161,85.6667,0.8582,0.8567,0.8573,5.000000000000001e-05
11,0.01977,86.2492,0.026697,83.0833,0.8583,0.8308,0.8356,4.217827674798848e-05
12,0.017183,88.7669,0.02307,84.5,0.8612,0.845,0.8485,3.454915028125264e-05
13,0.017182,88.7347,0.022328,85.6667,0.8632,0.8567,0.8586,2.730047501302267e-05
14,0.016054,89.348,0.02321,85.4167,0.8625,0.8542,0.8565,2.0610737385376356e-05
15,0.014869,90.6714,0.021769,88.0,0.8846,0.88,0.8814,1.464466094067263e-05
16,0.013721,91.2201,0.021914,86.6667,0.8712,0.8667,0.8681,9.549150281252635e-06
17,0.013589,91.5752,0.022343,87.3333,0.8784,0.8733,0.8748,5.4496737905816115e-06
18,0.014052,91.4461,0.021513,87.5,0.8769,0.875,0.8757,2.4471741852423237e-06
19,0.012912,91.8334,0.022158,86.4167,0.8714,0.8642,0.8662,6.155829702431171e-07
20,0.012648,91.9948,0.021872,86.8333,0.8761,0.8683,0.8704,0.0
