epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.043435,57.5855,0.04294,60.3333,0.7007,0.6033,0.614,9.938441702975689e-05
2,0.036376,70.6908,0.04109,66.0,0.7625,0.66,0.669,9.755282581475769e-05
3,0.033389,74.4674,0.031031,75.1667,0.7788,0.7517,0.7583,9.45503262094184e-05
4,0.029519,78.4377,0.026677,82.0833,0.8187,0.8208,0.8195,9.045084971874738e-05
5,0.0289,78.6314,0.026428,83.0,0.8289,0.83,0.8294,8.535533905932738e-05
6,0.026503,81.0846,0.032411,75.8333,0.8029,0.7583,0.766,7.938926261462366e-05
7,0.024701,82.9567,0.024848,82.4167,0.825,0.8242,0.8246,7.269952498697734e-05
8,0.023494,83.2795,0.026909,82.3333,0.8306,0.8233,0.8257,6.545084971874738e-05
9,0.022095,84.6352,0.025394,82.5833,0.8361,0.8258,0.8288,5.782172325201156e-05
10,0.020619,86.2169,0.026121,81.3333,0.829,0.8133,0.8173,5.000000000000001e-05
11,0.020307,87.1853,0.024211,83.3333,0.8404,0.8333,0.8356,4.217827674798848e-05
12,0.018812,87.7017,0.027547,81.75,0.8398,0.8175,0.8222,3.454915028125264e-05
13,0.016514,89.122,0.024118,84.4167,0.8471,0.8442,0.8453,2.730047501302267e-05
14,0.014945,90.3163,0.025292,83.3333,0.8412,0.8333,0.8357,2.0610737385376356e-05
15,0.013563,91.3815,0.025222,83.6667,0.8456,0.8367,0.8393,1.464466094067263e-05
16,0.013247,92.0271,0.023868,85.25,0.8542,0.8525,0.8532,9.549150281252635e-06
17,0.012476,92.6081,0.026672,84.25,0.8499,0.8425,0.8447,5.4496737905816115e-06
18,0.011759,93.2214,0.02496,84.8333,0.8526,0.8483,0.8498,2.4471741852423237e-06
19,0.010553,93.6088,0.026267,84.4167,0.8515,0.8442,0.8464,6.155829702431171e-07
20,0.01019,93.6411,0.026766,84.0833,0.8487,0.8408,0.8432,0.0
