epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.041475,60.878,0.040629,67.3061,0.7095,0.6731,0.6826,9.938441702975689e-05
2,0.036281,70.3357,0.041147,69.4746,0.7858,0.6947,0.7037,9.755282581475769e-05
3,0.032258,75.9522,0.027453,82.2352,0.8225,0.8224,0.8224,9.45503262094184e-05
4,0.029576,79.4383,0.026824,81.2344,0.8108,0.8123,0.8115,9.045084971874738e-05
5,0.027618,79.9871,0.027737,81.151,0.8183,0.8115,0.8139,8.535533905932738e-05
6,0.026951,80.7618,0.027939,79.1493,0.8127,0.7915,0.7966,7.938926261462366e-05
7,0.02485,82.989,0.033119,77.8148,0.8045,0.7781,0.7841,7.269952498697734e-05
8,0.022274,85.1517,0.039225,73.7281,0.8172,0.7373,0.7455,6.545084971874738e-05
9,0.020684,86.7334,0.029111,80.4837,0.8245,0.8048,0.8095,5.782172325201156e-05
10,0.020086,85.9587,0.027514,80.8173,0.8121,0.8082,0.8097,5.000000000000001e-05
11,0.017842,88.1859,0.029993,82.2352,0.8375,0.8224,0.8261,4.217827674798848e-05
