epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.04075,63.3721,0.036157,73.75,0.7684,0.7375,0.7448,9.938441702975689e-05
2,0.034371,73.6111,0.031628,75.1667,0.7918,0.7517,0.7593,9.755282581475769e-05
3,0.031126,77.2287,0.028123,82.25,0.8188,0.8225,0.8171,9.45503262094184e-05
4,0.029253,79.4897,0.025853,82.4167,0.8243,0.8242,0.8242,9.045084971874738e-05
5,0.027986,79.8127,0.026088,82.25,0.8205,0.8225,0.8213,8.535533905932738e-05
6,0.026579,80.3941,0.024393,82.6667,0.8363,0.8267,0.8295,7.938926261462366e-05
7,0.023998,83.4302,0.030689,76.8333,0.8133,0.7683,0.7756,7.269952498697734e-05
8,0.023178,84.5607,0.025917,81.9167,0.8408,0.8192,0.8237,6.545084971874738e-05
9,0.022006,85.1744,0.027323,80.25,0.8258,0.8025,0.8076,5.782172325201156e-05
10,0.020868,85.9173,0.023435,84.3333,0.8453,0.8433,0.8441,5.000000000000001e-05
11,0.018893,87.3385,0.024615,82.8333,0.853,0.8283,0.8329,4.217827674798848e-05
12,0.018067,88.792,0.023738,84.9167,0.8564,0.8492,0.8513,3.454915028125264e-05
13,0.015548,90.2132,0.023434,84.9167,0.8588,0.8492,0.8517,2.730047501302267e-05
14,0.014726,90.407,0.023105,85.5,0.866,0.855,0.8577,2.0610737385376356e-05
15,0.014163,91.1822,0.021829,85.0,0.8598,0.85,0.8526,1.464466094067263e-05
16,0.012198,92.4419,0.021298,85.8333,0.8609,0.8583,0.8593,9.549150281252635e-06
17,0.011529,92.991,0.022629,85.8333,0.8648,0.8583,0.8602,5.4496737905816115e-06
18,0.010723,93.9276,0.021755,86.0,0.8598,0.86,0.8599,2.4471741852423237e-06
19,0.009846,94.1537,0.022145,86.1667,0.8648,0.8617,0.8628,6.155829702431171e-07
20,0.009717,94.5413,0.022205,86.4167,0.868,0.8642,0.8655,0.0
