epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.04366,61.5558,0.049381,50.75,0.7124,0.5075,0.4926,9.938441702975689e-05
2,0.034758,72.8212,0.050201,62.8333,0.7775,0.6283,0.6325,9.755282581475769e-05
3,0.031656,76.1136,0.029178,78.6667,0.7988,0.7867,0.7904,9.45503262094184e-05
4,0.029031,78.9219,0.028848,79.8333,0.8101,0.7983,0.8019,9.045084971874738e-05
5,0.028646,78.8573,0.027617,78.9167,0.7991,0.7892,0.7925,8.535533905932738e-05
6,0.026441,80.7295,0.033773,74.5833,0.8012,0.7458,0.7541,7.938926261462366e-05
7,0.025563,81.9884,0.027449,80.4167,0.8318,0.8042,0.8096,7.269952498697734e-05
8,0.02423,83.0859,0.033446,74.3333,0.8077,0.7433,0.7517,6.545084971874738e-05
9,0.023026,84.5061,0.026128,82.5,0.8365,0.825,0.8282,5.782172325201156e-05
10,0.021808,84.958,0.028472,79.8333,0.8284,0.7983,0.8041,5.000000000000001e-05
11,0.021263,85.991,0.025146,83.1667,0.8403,0.8317,0.8343,4.217827674798848e-05
12,0.019803,87.0884,0.027822,81.25,0.8399,0.8125,0.8177,3.454915028125264e-05
13,0.019034,87.2821,0.023379,84.4167,0.8437,0.8442,0.8439,2.730047501302267e-05
14,0.016849,88.8961,0.023325,84.25,0.8431,0.8425,0.8428,2.0610737385376356e-05
15,0.016415,89.4125,0.022888,83.75,0.845,0.8375,0.8398,1.464466094067263e-05
16,0.015012,90.4454,0.023201,83.5833,0.8438,0.8358,0.8382,9.549150281252635e-06
17,0.013933,91.2201,0.024362,84.1667,0.8522,0.8417,0.8445,5.4496737905816115e-06
18,0.013148,91.7689,0.022558,85.5833,0.8601,0.8558,0.8573,2.4471741852423237e-06
19,0.012113,92.4467,0.024563,84.25,0.8537,0.8425,0.8454,6.155829702431171e-07
20,0.012079,92.4467,0.023859,84.6667,0.8542,0.8467,0.8489,0.0
