epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.041131,61.2008,0.041805,72.1667,0.7336,0.7217,0.7261,9.938441702975689e-05
2,0.035238,73.2085,0.054962,68.75,0.7904,0.6875,0.6959,9.755282581475769e-05
3,0.031087,76.7592,0.027308,78.9167,0.8069,0.7892,0.7939,9.45503262094184e-05
4,0.028381,80.8263,0.02584,81.9167,0.8234,0.8192,0.8208,9.045084971874738e-05
5,0.026884,81.827,0.03042,82.75,0.8276,0.8275,0.8276,8.535533905932738e-05
6,0.026223,81.6656,0.028375,81.75,0.8323,0.8175,0.8213,7.938926261462366e-05
7,0.023497,83.796,0.028575,78.6667,0.8329,0.7867,0.7935,7.269952498697734e-05
8,0.021864,85.5713,0.025205,82.8333,0.8288,0.8283,0.8286,6.545084971874738e-05
9,0.021143,85.7327,0.028509,78.8333,0.8108,0.7883,0.7936,5.782172325201156e-05
10,0.020687,86.3138,0.027088,81.6667,0.843,0.8167,0.8217,5.000000000000001e-05
11,0.017419,88.4764,0.030811,82.5,0.8468,0.825,0.8294,4.217827674798848e-05
12,0.016392,89.122,0.028265,86.0833,0.8635,0.8608,0.8618,3.454915028125264e-05
13,0.014963,90.9296,0.028174,85.5833,0.8538,0.8558,0.8525,2.730047501302267e-05
14,0.013171,91.4138,0.026217,85.8333,0.8581,0.8583,0.8582,2.0610737385376356e-05
15,0.012208,91.7689,0.02679,86.3333,0.8625,0.8633,0.8629,1.464466094067263e-05
