epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.04103,61.5956,0.040862,62.1667,0.7191,0.6217,0.6317,9.938441702975689e-05
2,0.035501,72.5129,0.044651,62.5833,0.7681,0.6258,0.6306,9.755282581475769e-05
3,0.03229,76.9057,0.027647,81.5,0.8111,0.815,0.8117,9.45503262094184e-05
4,0.029162,80.168,0.030289,79.25,0.7924,0.7925,0.7924,9.045084971874738e-05
5,0.027654,80.2649,0.028683,81.5,0.8249,0.815,0.818,8.535533905932738e-05
6,0.026515,81.137,0.023256,83.75,0.8408,0.8375,0.8388,7.938926261462366e-05
7,0.024421,83.5271,0.032446,77.3333,0.8287,0.7733,0.7806,7.269952498697734e-05
8,0.023583,84.3346,0.025552,82.1667,0.8286,0.8217,0.824,6.545084971874738e-05
9,0.021863,85.7235,0.029166,79.3333,0.8289,0.7933,0.7995,5.782172325201156e-05
10,0.020317,86.3372,0.024281,83.3333,0.8411,0.8333,0.8357,5.000000000000001e-05
11,0.018058,87.8876,0.023434,83.8333,0.8377,0.8383,0.838,4.217827674798848e-05
12,0.018086,88.2752,0.023643,84.0833,0.8574,0.8408,0.8444,3.454915028125264e-05
13,0.015536,89.6318,0.02198,85.4167,0.8602,0.8542,0.856,2.730047501302267e-05
14,0.014661,90.2778,0.021537,85.8333,0.8634,0.8583,0.8599,2.0610737385376356e-05
15,0.013346,91.5375,0.020553,86.6667,0.8659,0.8667,0.8662,1.464466094067263e-05
16,0.011829,92.991,0.021716,86.25,0.8676,0.8625,0.8641,9.549150281252635e-06
17,0.010608,93.314,0.022441,85.75,0.8645,0.8575,0.8595,5.4496737905816115e-06
18,0.009729,94.186,0.021966,86.75,0.8696,0.8675,0.8683,2.4471741852423237e-06
19,0.009224,93.9599,0.022383,86.3333,0.8679,0.8633,0.8648,6.155829702431171e-07
20,0.009322,93.7984,0.022777,86.75,0.8735,0.8675,0.8692,0.0
