epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.042882,59.3609,0.047077,56.3333,0.7343,0.5633,0.5617,9.938441702975689e-05
2,0.034949,71.6591,0.031299,77.8333,0.8028,0.7783,0.7841,9.755282581475769e-05
3,0.032252,76.3073,0.033436,73.1667,0.8023,0.7317,0.7403,9.45503262094184e-05
4,0.028432,79.1478,0.026625,81.75,0.8211,0.8175,0.8189,9.045084971874738e-05
5,0.027437,79.1478,0.026281,82.0,0.8391,0.82,0.8243,8.535533905932738e-05
6,0.026455,80.6004,0.027543,80.1667,0.8107,0.8017,0.8046,7.938926261462366e-05
7,0.024328,82.1821,0.028023,80.5,0.8383,0.805,0.8107,7.269952498697734e-05
8,0.023344,84.0865,0.02945,78.9167,0.8304,0.7892,0.7957,6.545084971874738e-05
9,0.021133,85.0226,0.023085,84.6667,0.8513,0.8467,0.8483,5.782172325201156e-05
10,0.021138,86.0878,0.025179,81.9167,0.8155,0.8192,0.8162,5.000000000000001e-05
11,0.019691,87.4112,0.024002,83.75,0.8493,0.8375,0.8405,4.217827674798848e-05
12,0.01685,89.2189,0.024277,84.1667,0.8518,0.8417,0.8444,3.454915028125264e-05
13,0.016252,89.3802,0.023632,85.0,0.8616,0.85,0.8528,2.730047501302267e-05
14,0.015291,89.7353,0.02282,84.1667,0.8423,0.8417,0.842,2.0610737385376356e-05
15,0.013341,91.8657,0.024671,84.0,0.8477,0.84,0.8423,1.464466094067263e-05
16,0.012219,92.6727,0.022741,85.4167,0.8602,0.8542,0.856,9.549150281252635e-06
17,0.011883,92.9309,0.023647,85.5833,0.8645,0.8558,0.8582,5.4496737905816115e-06
18,0.01036,93.3828,0.022628,86.9167,0.8729,0.8692,0.8704,2.4471741852423237e-06
19,0.009714,94.7708,0.024752,85.6667,0.8663,0.8567,0.8591,6.155829702431171e-07
20,0.010049,93.7056,0.024035,85.8333,0.8655,0.8583,0.8604,0.0
