fold,best_epoch,val_acc,val_f1,test_acc,test_precision,test_recall,test_f1
1,12,86.3333,0.8643,85.458,0.8573,0.8546,0.8556
2,18,86.9167,0.8704,86.0246,0.8607,0.8602,0.8605
3,16,85.25,0.8532,85.6468,0.8592,0.8565,0.8575
4,16,85.8333,0.8593,84.6081,0.8509,0.8461,0.8477
5,13,85.2377,0.8531,86.4023,0.866,0.864,0.8648
mean,,85.9142,0.8601,85.628,0.8588,0.8563,0.8572
std,,0.6459,0.0066,0.6043,0.0049,0.006,0.0057
