epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.040877,65.2034,0.035446,73.4167,0.7218,0.7342,0.7229,9.938441702975689e-05
2,0.034247,73.0471,0.034115,70.75,0.7885,0.7075,0.7166,9.755282581475769e-05
3,0.031042,76.9529,0.034758,72.0,0.7896,0.72,0.729,9.45503262094184e-05
4,0.028356,80.3422,0.025577,81.9167,0.8271,0.8192,0.8217,9.045084971874738e-05
5,0.026987,80.213,0.023977,82.5,0.8263,0.825,0.8256,8.535533905932738e-05
6,0.025529,81.9238,0.026341,81.5833,0.8278,0.8158,0.8192,7.938926261462366e-05
7,0.024387,83.215,0.026645,81.25,0.835,0.8125,0.8173,7.269952498697734e-05
8,0.02227,85.6682,0.023749,82.1667,0.8278,0.8217,0.8238,6.545084971874738e-05
9,0.020759,86.1201,0.022777,84.25,0.8418,0.8425,0.8421,5.782172325201156e-05
10,0.020315,87.153,0.024638,84.3333,0.8576,0.8433,0.8466,5.000000000000001e-05
11,0.018753,87.8631,0.023673,84.5,0.8607,0.845,0.8484,4.217827674798848e-05
12,0.01764,88.4442,0.021715,86.3333,0.8659,0.8633,0.8643,3.454915028125264e-05
13,0.015957,90.6391,0.023112,86.3333,0.8618,0.8633,0.8622,2.730047501302267e-05
14,0.014475,90.9619,0.023086,86.5833,0.8663,0.8658,0.8661,2.0610737385376356e-05
15,0.013156,92.3499,0.024964,85.6667,0.8635,0.8567,0.8587,1.464466094067263e-05
16,0.012039,92.7372,0.02215,86.3333,0.8639,0.8633,0.8636,9.549150281252635e-06
17,0.011189,93.06,0.023585,86.25,0.8652,0.8625,0.8635,5.4496737905816115e-06
18,0.010617,94.2221,0.023671,87.0,0.871,0.87,0.8704,2.4471741852423237e-06
19,0.010874,93.1569,0.024361,86.6667,0.8697,0.8667,0.8678,6.155829702431171e-07
